parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,Skive,2011,31157
GYLDIGE STEMMER I ALT,Skive,2015,30092
GYLDIGE STEMMER I ALT,Skive,2019,29425
GYLDIGE STEMMER I ALT,Skive,2022,28518
GYLDIGE STEMMER I ALT,Struer,2007,14601
GYLDIGE STEMMER I ALT,Struer,2011,14549
GYLDIGE STEMMER I ALT,Struer,2015,13894
GYLDIGE STEMMER I ALT,Struer,2019,13400
GYLDIGE STEMMER I ALT,Struer,2022,13224
GYLDIGE STEMMER I ALT,Viborg,2007,58431
GYLDIGE STEMMER I ALT,Viborg,2011,59898
GYLDIGE STEMMER I ALT,Viborg,2015,59636
GYLDIGE STEMMER I ALT,Viborg,2019,59236
GYLDIGE STEMMER I ALT,Viborg,2022,59353
GYLDIGE STEMMER I ALT,Brønderslev,2007,22757
GYLDIGE STEMMER I ALT,Brønderslev,2011,23258
GYLDIGE STEMMER I ALT,Brønderslev,2015,22605
GYLDIGE STEMMER I ALT,Brønderslev,2019,22367
GYLDIGE STEMMER I ALT,Brønderslev,2022,22630
GYLDIGE STEMMER I ALT,Frederikshavn,2007,40092
GYLDIGE STEMMER I ALT,Frederikshavn,2011,40403
GYLDIGE STEMMER I ALT,Frederikshavn,2015,38938
GYLDIGE STEMMER I ALT,Frederikshavn,2019,37277
GYLDIGE STEMMER I ALT,Frederikshavn,2022,36498
GYLDIGE STEMMER I ALT,Hjørring,2007,42313
GYLDIGE STEMMER I ALT,Hjørring,2011,42924
GYLDIGE STEMMER I ALT,Hjørring,2015,41601
GYLDIGE STEMMER I ALT,Hjørring,2019,40188
GYLDIGE STEMMER I ALT,Hjørring,2022,39927
GYLDIGE STEMMER I ALT,Jammerbugt,2007,24723
GYLDIGE STEMMER I ALT,Jammerbugt,2011,25126
GYLDIGE STEMMER I ALT,Jammerbugt,2015,24716
GYLDIGE STEMMER I ALT,Jammerbugt,2019,23987
GYLDIGE STEMMER I ALT,Jammerbugt,2022,24307
GYLDIGE STEMMER I ALT,Læsø,2007,1377
GYLDIGE STEMMER I ALT,Læsø,2011,1345
GYLDIGE STEMMER I ALT,Læsø,2015,1247
GYLDIGE STEMMER I ALT,Læsø,2019,1221
GYLDIGE STEMMER I ALT,Læsø,2022,1230
GYLDIGE STEMMER I ALT,Mariagerfjord,2007,26865
GYLDIGE STEMMER I ALT,Mariagerfjord,2011,27003
GYLDIGE STEMMER I ALT,Mariagerfjord,2015,26408
GYLDIGE STEMMER I ALT,Mariagerfjord,2019,25912
GYLDIGE STEMMER I ALT,Mariagerfjord,2022,26136
GYLDIGE STEMMER I ALT,Morsø,2007,14233
GYLDIGE STEMMER I ALT,Morsø,2011,14155
GYLDIGE STEMMER I ALT,Morsø,2015,13578
GYLDIGE STEMMER I ALT,Morsø,2019,13018
GYLDIGE STEMMER I ALT,Morsø,2022,12694
GYLDIGE STEMMER I ALT,Rebild,2007,18136
GYLDIGE STEMMER I ALT,Rebild,2011,18516
GYLDIGE STEMMER I ALT,Rebild,2015,18485
